,광역시도명,시군구명,계절성,요일성,성별 편향,30대 이하,30 - 50대,50대 이상,소계(남녀합계)/sum/mean,소멸지수,pca1,pca2,pca3,군집
0,강원도,화천군,0.2024852200569302,0.3010741252791658,0.5180915089551157,0.22474157653287347,0.17630820252878332,0.3572696159209027,0.045457434653894846,0.241044323011536,-0.36732833444885116,0.3820616496189616,0.055103770357588934,0
1,강원도,횡성군,0.15382088898620538,0.3007550781665422,0.4333985932854761,0.29048833950195846,0.2579283574214702,0.5387755102040815,0.07910418351731993,0.3867638129933211,-0.17142303715254564,0.2845863132497659,0.0846689062715245,0
2,강원도,철원군,0.13986205386468148,0.30096777624162463,0.4194039591037633,0.20654712709763204,0.1444157606135409,0.2897959183673469,0.033085810809737104,0.4074074074074074,-0.3771354284869423,0.2237350169060875,-0.04595425396411465,0
3,강원도,강릉시,0.12480840814539076,0.30043603105391853,0.2859836125009063,0.2746176051361291,0.20945373004955817,0.3484852326023577,0.05376901111229404,0.5373406193078324,-0.2564934768143447,0.07458357185698287,-0.033087423664454274,0
4,강원도,고성군,0.19115393037004608,0.30022333297883613,0.45203393517511425,0.2652508773821075,0.2238877687538865,0.38186081886170614,0.05754938400102971,0.18639951426836665,-0.3401722642132492,0.35251883885725427,0.1344077442062181,0
5,강원도,정선군,0.16933982920954677,0.3008614272040834,0.3575520266840693,0.15125708194090104,0.12134202641843639,0.27291164913170235,0.022921390808561204,0.2701882210078931,-0.4763208387941155,0.21137136157105363,0.024424321532244223,0
6,강원도,평창군,0.08334245675498153,0.30022333297883613,0.4360815024291205,0.40248182351743417,0.33907742750004716,0.6329826340474077,0.10952434677730757,0.28354584092289004,-0.07151259091540797,0.34793282695294403,0.22451403418166072,0
7,강원도,양구군,0.20160937157871697,0.3010741252791658,0.42999057356246834,0.20422341202822003,0.14586670184099948,0.3131702370389149,0.035002216738200864,0.2908318154219793,-0.40589096124865603,0.2776697960634291,0.026158396839434727,0
8,강원도,동해시,0.08156338953361073,0.3007550781665422,0.3031687332318178,0.19525195539425305,0.1435395428592964,0.23858537203701355,0.027036260751974794,0.42562234365513046,-0.4134891738506869,0.10810567947763215,-0.043721448004865,0
9,강원도,속초시,0.11678892051675081,0.29639476762735256,0.2397215575375246,0.28512223459939884,0.21371233676911192,0.3296742299404233,0.0531572231500565,0.4468731026108075,-0.2963010810969426,0.06541047903047381,0.03384989602358703,0
10,강원도,춘천시,0.02195095248522036,0.3014995214293307,0.284823435573925,0.3284583228526598,0.24699918973411972,0.37367220179997457,0.06603496249024715,0.5792349726775955,-0.18687309683716083,0.06766923710712386,-0.026279204618698856,0
11,강원도,홍천군,0.20524961681629084,0.300648729129001,0.48553404394170113,0.33351300202426737,0.29931786918916886,0.5559259728736214,0.0901497370900822,0.46812386156648444,-0.08862702872097931,0.3094123955059418,0.04766059962144728,0
12,강원도,삼척시,0.12437048390628422,0.30096777624162463,0.3536364295555072,0.1683136296668943,0.1347396785317229,0.25748510584357964,0.024907715361280613,0.32544019429265325,-0.45013750880842357,0.18854194512332728,-0.0041992282179837935,0
13,강원도,영월군,0.17467703087365885,0.3010741252791658,0.39388006671017334,0.1662893624157055,0.1415609866400347,0.3369882114336418,0.03288002758607539,0.33697632058287785,-0.4021664885435152,0.22882518705110577,0.00275478097372883,0
14,강원도,태백시,0.14169586161594042,0.3014995214293307,0.2984555144659561,0.11344281145567578,0.08319357817181408,0.1700342248700722,0.004536765278411181,0.33879781420765026,-0.5434545386921035,0.11792884625205192,-0.050057827240915634,0
15,강원도,인제군,0.2169640902123932,0.3005423800914597,0.5267928359074759,0.31764226765843795,0.26610638979441864,0.46272024337685375,0.0756209647816711,0.3418336369156041,-0.19499787537370306,0.37794929784761616,0.07093675730335557,0
16,강원도,양양군,0.24592183052331956,0.2997979368286713,0.3508084982959902,0.304849856863943,0.260905613446645,0.44109519584231205,0.07183503018418791,0.35215543412264716,-0.23037234964680495,0.2148485462370356,0.10365832276694446,0
17,강원도,원주시,0.0,0.3016058704668719,0.30128344572547294,0.38777294668631057,0.2992707607077579,0.4511725186969197,0.08579968631962662,0.6229508196721311,-0.08047127081146893,0.08273494925384013,-0.004725017356631429,2
0,광주광역시,광산구,0.15297241077293594,0.48590875252578924,0.36161264592850384,0.6237498053589186,0.5024684844259363,0.5050196476105969,0.5380341425354717,0.6545233758348512,0.42637674731468883,0.07410840380533613,0.04147223745228121,1
1,광주광역시,남구,0.15625684256623598,0.38168669573540304,0.07200348053078087,0.301028902703415,0.21553072415157626,0.2935099505640766,0.270715378760311,0.5421979356405585,-0.15613048963174805,-0.16883472820587347,0.005773205979865064,2
2,광주광역시,동구,0.1807532296912634,0.3989152398170793,0.13015734899572176,0.23544983051253499,0.1776460834008555,0.2490302953479528,0.22926078534505634,0.6502732240437158,-0.19025142946748091,-0.16248787159381706,-0.13045026614417188,2
3,광주광역시,북구,0.14768994963871263,0.4127406146974366,0.16967587557102454,0.4176578389449856,0.3539260208407922,0.47975662314615286,0.4221567353087463,0.6174863387978141,0.15347653451180915,-0.09424074283653752,0.04919544618965658,2
4,광주광역시,서구,0.13258156338953347,0.39178985430181823,0.17989993474004778,0.41477116197731395,0.3965403531251767,0.5054252757003422,0.44975075599512465,0.5664845173041894,0.17487324044703606,-0.06512083478723896,0.1032404669538822,2
5,대구광역시,남구,0.31727611123275673,0.3927469956396891,0.07816692045536941,0.17217051756560914,0.1611392715144435,0.308366079350995,0.2223078548807172,0.5245901639344261,-0.2528538533235769,-0.1613650056142782,-0.04471371337372339,2
