기타관광,레저스포츠,문화관광,쇼핑,자연관광,역사.체험관광,총 관광지 수,도시비율,임야면적 비율,농업용지 비율,해면비율,육지 도시화 정도,해면 도시화 정도,도시지역 인구 (명),1인당 주거지역 (㎡),1인당 상업지역 (㎡),1인당 공업지역 (㎡),지역총면적(㎡),관광/여가/오락,생활서비스,소매,숙박,스포츠,음식,학문/교육,계절성,요일성,성별 편향,30대 이하,30 - 50대,50대 이상,소계(남녀합계)/sum/mean,소멸지수,cluster,gmm_cluster,kmeans_cluster,pca1,pca2
0.6706586826347305,0.6490196078431374,0.210800568450971,0.3823953823953823,1.0,0.5456155890168292,0.5919149677644189,0.9914377128041546,0.8900063451998359,0.2538005082696739,0.0085622871958453,0.0728206431328483,0.0085622871958453,0.286156214091964,0.3118720524912856,0.188875786163522,0.1505571522210457,0.5709082331076306,0.3870967741935484,0.3,0.5769230769230769,1.0,0.2115384615384615,0.53125,0.3888888888888888,0.1248084081453907,0.3004360310539185,0.2859836125009063,0.2746176051361291,0.2094537300495581,0.3484852326023576,0.053769011112294,0.5373406193078324,4,5,4,-0.8507413235936345,1.2592546434686829
0.4491017964071855,0.3980392156862745,0.0637138796778777,0.0966810966810966,0.7404306220095693,0.1736049601417183,0.2742638090259627,0.999357113217122,0.9230434263905868,0.2160933871202474,0.000642886782878,0.0130110542065757,0.0006428867828781,0.0224438032121991,0.7098284464493201,0.5237814465408804,0.0713457369031412,0.361886372111611,0.0,0.0,0.0384615384615384,0.4333333333333333,0.0192307692307692,0.03125,0.0277777777777777,0.191153930370046,0.3002233329788361,0.4520339351751142,0.2652508773821075,0.2238877687538865,0.3818608188617061,0.0575493840010297,0.1863995142683666,2,6,2,-1.490732648142276,0.2837577403586907
0.3812375249500997,0.1176470588235294,0.0433443865466603,0.1904761904761904,0.3444976076555023,0.0841452612931798,0.1395713538944067,0.8770896572805744,0.7548743715081146,0.1794013941097262,0.1229103427194255,0.5784324107840318,0.1229103427194256,0.1352335530759668,0.5068689768300184,0.4939072327044025,0.506529521504563,0.0975434571885077,0.0967741935483871,0.1,0.1923076923076922,0.2,0.0384615384615384,0.15625,0.1111111111111111,0.0815633895336107,0.3007550781665422,0.3031687332318178,0.195251955394253,0.1435395428592964,0.2385853720370135,0.0270362607519747,0.4256223436551304,2,6,2,-0.8222170084530023,-0.2255851376452352
0.6447105788423153,0.1813725490196078,0.0611084793936522,0.111111111111111,0.8349282296650715,0.2267493356953055,0.2768775047917756,1.0,0.978537784075239,0.1548975843109036,0.0,0.0617720814648183,0.0,0.0768562889248801,0.6742532977923588,0.3869889937106918,0.772298694095699,0.651868098206685,0.064516129032258,0.05,0.1153846153846154,0.2833333333333334,0.0384615384615384,0.09375,0.0555555555555555,0.1243704839062842,0.3009677762416246,0.3536364295555072,0.1683136296668943,0.1347396785317229,0.2574851058435796,0.0249077153612806,0.3254401942926532,2,4,2,-1.5324947491095269,0.3647635132084935
0.6047904191616765,0.2421568627450981,0.1087162482235906,0.189033189033189,0.345693779904306,0.1550044286979628,0.2432479526049834,0.9379154879871944,0.7823151951556181,0.1912670083468471,0.0620845120128056,0.3533457453490025,0.0620845120128057,0.1256919767881348,0.2597225070056729,0.5520833333333334,0.0629758483335854,0.0565352548023088,0.1612903225806451,0.1,0.2692307692307692,0.3666666666666666,0.0576923076923076,0.1875,0.1111111111111111,0.1167889205167508,0.2963947676273525,0.2397215575375246,0.2851222345993988,0.2137123367691119,0.3296742299404233,0.0531572231500565,0.4468731026108075,2,6,2,-0.8219528514523372,0.0410296475698231
0.2075848303393213,0.0735294117647058,0.0554239696826148,0.0,0.1387559808612439,0.0903454384410983,0.0737062205959225,1.0,0.8955145353861056,0.2836612987832537,0.0,0.0,0.0,0.0178673074266735,0.4223566400109357,0.2735849056603773,0.0268239802349619,0.3625553296475519,0.0,0.0,0.0,0.1166666666666666,0.0,0.0,0.0277777777777777,0.2016093715787169,0.3010741252791658,0.4299905735624683,0.20422341202822,0.1458667018409994,0.3131702370389149,0.0350022167382008,0.2908318154219793,2,6,2,-1.2319003516877007,-0.2530136386635116
0.2854291417165668,0.9019607843137256,0.0476077688299383,0.0057720057720057,0.727272727272727,0.3551815766164747,0.3605157692977869,0.999401264528492,0.9305894908787546,0.2070604524092804,0.000598735471508,0.0133264619384391,0.0005987354715081,0.0185776888620387,0.7231563119404005,1.0,0.0089245197398275,0.3448220134902079,0.0,0.0,0.0384615384615384,0.6000000000000001,0.0192307692307692,0.03125,0.0277777777777777,0.2459218305233195,0.2997979368286713,0.3508084982959902,0.304849856863943,0.260905613446645,0.441095195842312,0.0718350301841879,0.3521554341226471,2,6,2,-1.507767291536843,0.5385776960929833
0.5049900199600799,0.2176470588235294,0.1030317385125532,0.0779220779220779,0.2296650717703348,0.3356953055801595,0.2312249520822442,1.0,0.9473674494226088,0.2190457308042999,0.0,0.0178924440861649,0.0,0.0371887717231758,0.4908071902125623,0.4439858490566037,0.2213986789693944,0.6185835973899418,0.0,0.0249999999999999,0.0769230769230769,0.2833333333333334,0.0769230769230769,0.03125,0.0277777777777777,0.1746770308736588,0.3010741252791658,0.3938800667101733,0.1662893624157055,0.1415609866400347,0.3369882114336418,0.0328800275860753,0.3369763205828778,2,6,2,-1.3751221171968937,0.1356452739041118
0.5209580838323351,0.6411764705882355,0.2202747513027001,0.2683982683982683,0.4545454545454545,0.6288751107174491,0.5075797177208573,1.0,0.7884934929122115,0.3527577611993117,0.0,0.0966958139930085,0.0,0.4978847937389287,0.2715125418631672,0.1495676100628931,0.0977663490142691,0.4760584606878287,0.5806451612903226,0.4750000000000001,0.8076923076923077,0.4166666666666667,0.2692307692307692,0.59375,0.5555555555555556,0.0,0.3016058704668719,0.3012834457254729,0.3877729466863105,0.2992707607077579,0.4511725186969197,0.0857996863196266,0.6229508196721311,4,5,4,-0.2873452586751235,1.1800147824564595
0.3493013972055888,0.203921568627451,0.0549502605400284,0.0375180375180375,0.5035885167464114,0.1266607617360496,0.1737236452343613,1.0,1.0,0.1071492181494554,0.0,0.0034272354824705,0.0,0.044075525082688,0.4016130134645616,0.3769654088050315,0.0379670246558765,0.9040546219742766,0.032258064516129,0.0249999999999999,0.0769230769230769,0.4,0.0576923076923076,0.03125,0.0277777777777777,0.2169640902123932,0.3005423800914597,0.5267928359074759,0.3176422676584379,0.2661063897944186,0.4627202433768537,0.0756209647816711,0.3418336369156041,2,6,2,-1.4137912343232624,0.2379050936888685
