순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
375,서울특별시,종로구,그라운드시소서촌,서울 종로구 자하문로6길 18-8,문화관광,기타문화관광지,760
377,서울특별시,양천구,신영시장,서울 양천구 월정로 161-5,쇼핑,시장,754
378,서울특별시,관악구,롯데시네마서울대입구,서울 관악구 남부순환로 1820-0,문화관광,공연시설,752
379,서울특별시,동대문구,롯데시네마청량리,서울 동대문구 왕산로 214-0,문화관광,공연시설,750
380,서울특별시,광진구,CGV강변,서울 광진구 광나루로56길 85-0,문화관광,공연시설,739
381,서울특별시,서초구,양재근린공원,서울 서초구,문화관광,도시공원,738
382,서울특별시,성북구,동방고개,서울 성북구,자연관광,자연경관(산),736
383,서울특별시,도봉구,다락원체육공원,서울 도봉구 창포원로 45-0,문화관광,도시공원,730
383,서울특별시,송파구,천마풋살파크,서울 송파구 성내천로29길 31-0,문화관광,레저스포츠시설,730
385,서울특별시,종로구,가나아트센터,서울 종로구 평창30길 28-0,문화관광,전시시설,726
386,서울특별시,노원구,와우쇼핑몰,서울 노원구 노해로 507-0,쇼핑,쇼핑몰,725
387,서울특별시,강남구,바운스트램폴린파크삼성센터,서울 강남구 영동대로 325-0,문화관광,테마공원,720
388,서울특별시,송파구,파크하비오워터킹덤,서울 송파구 송파대로 111-0,문화관광,테마공원,713
388,서울특별시,서대문구,독립문,서울 서대문구,역사관광,역사유적지,713
390,서울특별시,양천구,생명과학박물관,서울 양천구 목동동로 206-1,문화관광,전시시설,712
391,서울특별시,용산구,노들섬복합문화공간,서울 용산구 양녕로 445-0,문화관광,기타문화관광지,711
392,서울특별시,강서구,서울김포비즈니스항공센터,서울 강서구 하늘길 38-0,기타관광,교통시설,710
393,서울특별시,송파구,소마미술관,서울 송파구 위례성대로 51-0,문화관광,전시시설,708
394,서울특별시,강동구,호원아트홀,서울 강동구 성안로 30-0,문화관광,공연시설,702
395,서울특별시,강북구,우이동유원지,서울 강북구,문화관광,복합관광시설,696
396,서울특별시,구로구,개봉중앙시장,서울 구로구 개봉로17길 34-0,쇼핑,시장,695
397,서울특별시,마포구,서울함공원,서울 마포구 마포나루길 407-0,문화관광,도시공원,694
398,서울특별시,중구,남산케이블카,서울 중구 소파로 83-0,기타관광,기타관광,692
399,서울특별시,양천구,목동깨비시장,서울 양천구 목동중앙북로 29-0,쇼핑,시장,691
400,서울특별시,강남구,신한아트홀,서울 강남구 역삼로 251-0,문화관광,공연시설,679
401,서울특별시,중랑구,면목시장,서울 중랑구 면목로37길 5-0,쇼핑,시장,678
402,서울특별시,중구,피크닉,서울 중구 퇴계로6가길 30-0,문화관광,전시시설,675
403,서울특별시,서초구,매헌윤봉길의사기념관,서울 서초구 매헌로 99-0,문화관광,전시시설,673
404,서울특별시,강서구,송화벽화시장,서울 강서구 강서로45나길 16-0,쇼핑,시장,672
405,서울특별시,마포구,월드컵공원,서울 마포구 월드컵로 243-60,문화관광,도시공원,671
406,서울특별시,양천구,경창시장,서울 양천구 오목로9길 31-0,쇼핑,시장,670
407,서울특별시,서초구,한가람디자인미술관,서울 서초구 남부순환로 2406-0,문화관광,전시시설,663
408,서울특별시,종로구,동묘시장,서울 종로구 종로58길 12-0,쇼핑,시장,662
409,서울특별시,영등포구,서울마리나클럽앤요트,서울 영등포구 여의서로 160-0,레저스포츠,수상레저스포츠,661
410,서울특별시,중랑구,롯데시네마중랑,서울 중랑구 동일로 951-0,문화관광,공연시설,660
410,서울특별시,영등포구,당산공원,서울 영등포구 당산로27길 12-0,문화관광,도시공원,660
412,서울특별시,노원구,서울시립과학관,서울 노원구 한글비석로 160-0,문화관광,전시시설,651
413,서울특별시,노원구,상계중앙시장,서울 노원구 상계로27길 19-0,쇼핑,시장,649
414,서울특별시,노원구,불암산,서울 노원구,자연관광,자연경관(산),648
415,서울특별시,광진구,신성종합시장,서울 광진구 용마산로 50-0,쇼핑,시장,646
416,서울특별시,서초구,예술의전당CJ토월극장,서울 서초구 남부순환로 2406-0,문화관광,공연시설,643
417,서울특별시,중구,HelloAPM,서울 중구 장충단로 253-0,쇼핑,쇼핑몰,638
418,서울특별시,종로구,종로귀금속거리,서울 종로구,쇼핑,기타쇼핑시설,637
419,서울특별시,강동구,둔촌역전통시장,서울 강동구,쇼핑,시장,636
420,서울특별시,노원구,CGV중계,서울 노원구 동일로204가길 12-0,문화관광,공연시설,634
421,서울특별시,종로구,두산아트센터,서울 종로구 종로33길 15-0,문화관광,공연시설,629
422,서울특별시,서초구,라시따델라모다,서울 서초구 매헌로 16-0,쇼핑,쇼핑몰,626
422,서울특별시,구로구,남구로시장,서울 구로구 구로동로26길 25-0,쇼핑,시장,626
424,서울특별시,영등포구,영산아트홀,서울 영등포구 여의공원로 101-0,문화관광,공연시설,624
425,서울특별시,양천구,메가박스목동,서울 양천구 목동동로 309-0,문화관광,공연시설,621
426,서울특별시,서초구,예술의전당음악당,서울 서초구 남부순환로 2406-0,문화관광,공연시설,619
427,서울특별시,송파구,잠실어울림축구장,서울 송파구 탄천동로 211-0,문화관광,레저스포츠시설,616
428,서울특별시,서초구,관문사,서울 서초구 바우뫼로7길 111-0,역사관광,종교성지,613
429,서울특별시,서대문구,메가박스신촌,서울 서대문구 신촌역로 30-0,문화관광,공연시설,609
430,서울특별시,강남구,마루공원,서울 강남구,문화관광,도시공원,607
431,서울특별시,광진구,예스24라이브홀,서울 광진구 구천면로 20-0,문화관광,공연시설,606
432,서울특별시,영등포구,렛츠런CCC영등포지점,서울 영등포구 영중로8길 14-0,레저스포츠,육상레저스포츠,605
433,서울특별시,송파구,송파구여성축구장,서울 송파구 올림픽로 474-0,문화관광,레저스포츠시설,604
434,서울특별시,송파구,성내유수지축구장,서울 송파구,문화관광,레저스포츠시설,603
435,서울특별시,종로구,창덕궁,서울 종로구 율곡로 99-0,역사관광,역사유적지,601
435,서울특별시,마포구,난지천공원인조잔디축구장,서울 마포구,문화관광,레저스포츠시설,601
437,서울특별시,종로구,동대문문구완구종합시장,서울 종로구 종로54길 19-0,쇼핑,시장,600
437,서울특별시,중구,숭례문,서울 중구 세종대로 40-0,역사관광,역사유적지,600
437,서울특별시,강남구,라움아트센터,서울 강남구 언주로 564-0,문화관광,전시시설,600
440,서울특별시,강남구,신구스포츠센터,서울 강남구 압구정로18길 28-0,레저스포츠,기타레저스포츠,599
440,서울특별시,종로구,국립고궁박물관,서울 종로구 효자로 12-0,문화관광,전시시설,599
440,서울특별시,관악구,삼성동시장,서울 관악구 원신1길 34-0,쇼핑,시장,599
443,서울특별시,용산구,노들섬,서울 용산구 양녕로 445-0,자연관광,자연경관(하천/해양),598
443,서울특별시,마포구,롯데시네마합정,서울 마포구 양화로 45-0,문화관광,공연시설,598
445,서울특별시,마포구,소극장산울림,서울 마포구 와우산로 157-0,문화관광,공연시설,597
446,서울특별시,성동구,성수낙낙,서울 성동구 아차산로17길 48-0,문화관광,기타문화관광지,594
446,서울특별시,마포구,DMC홍보관,서울 마포구 월드컵북로 366-0,문화관광,전시시설,594
448,서울특별시,종로구,대한민국역사박물관,서울 종로구 세종대로 198-0,문화관광,전시시설,591
449,서울특별시,마포구,문화비축기지,서울 마포구 증산로 87-0,문화관광,기타문화관광지,590
450,서울특별시,노원구,태릉국제스케이트장,서울 노원구 화랑로 727-0,레저스포츠,육상레저스포츠,588
451,서울특별시,동대문구,서울한방진흥센터,서울 동대문구 약령중앙로 26-0,문화관광,기타문화관광지,586
452,서울특별시,마포구,CGV연남,서울 마포구 양화로 186-0,문화관광,공연시설,584
453,서울특별시,중구,동화상가,서울 중구 장충단로13길 34-0,쇼핑,시장,583
453,서울특별시,은평구,북한산국립공원북한산성탐방지원센터,서울 은평구 대서문길 45-0,기타관광,기타관광,583
455,서울특별시,광진구,우리유황온천,서울 광진구 자양로5길 33-0,체험관광,웰니스관광,582
456,서울특별시,관악구,관악신사시장,서울 관악구 난곡로74길 58-0,쇼핑,시장,581
457,서울특별시,서초구,메가박스강남,서울 서초구 서초대로77길 3-0,문화관광,공연시설,579
458,서울특별시,성북구,CGV성신여대입구,서울 성북구 동소문로 106-0,문화관광,공연시설,576
458,서울특별시,송파구,롯데면세점월드타워점,서울 송파구 올림픽로 300-0,쇼핑,면세점,576
460,서울특별시,광진구,아차산배수지체육공원,서울 광진구 천호대로 731-0,문화관광,도시공원,574
460,서울특별시,구로구,거리공원,서울 구로구,문화관광,도시공원,574
462,서울특별시,광진구,퐁퐁플라워건대센터,서울 광진구 아차산로 272-0,문화관광,테마공원,568
463,서울특별시,영등포구,대림어린이공원,서울 영등포구 대림로 106-0,문화관광,도시공원,567
464,서울특별시,강남구,윤당아트홀,서울 강남구 언주로 844-0,문화관광,공연시설,562
465,서울특별시,성동구,디엣지아이스링크,서울 성동구 자동차시장1길 18-0,레저스포츠,기타레저스포츠,560
466,서울특별시,노원구,삼부프라자,서울 노원구 한글비석로 242-0,쇼핑,쇼핑몰,559
466,서울특별시,동대문구,간데메공원,서울 동대문구 서울시립대로2길 59-0,문화관광,도시공원,559
468,서울특별시,강북구,삼양시장,서울 강북구,쇼핑,시장,556
469,서울특별시,강서구,스페이스K서울,서울 강서구 마곡중앙8로 32-0,문화관광,전시시설,555
470,서울특별시,용산구,남산야외식물원,서울 용산구 소월로 323-0,문화관광,테마공원,554
471,서울특별시,은평구,삼천사,서울 은평구 연서로54길 127-0,역사관광,종교성지,544
472,서울특별시,서대문구,금호아트홀연세,서울 서대문구 연세로 50-0,문화관광,공연시설,541
472,서울특별시,금천구,금빛공원,서울 금천구 금하로 668-0,문화관광,도시공원,541
474,서울특별시,종로구,마로니에공원,서울 종로구 대학로 104-0,문화관광,도시공원,535
474,서울특별시,중구,서소문역사공원,서울 중구 칠패로 5-0,문화관광,도시공원,535
476,서울특별시,종로구,서울극장폐점,서울 종로구 돈화문로 13-0,문화관광,공연시설,534
477,서울특별시,용산구,신동아쇼핑센터,서울 용산구 이촌로 352-0,쇼핑,쇼핑몰,531
477,서울특별시,양천구,현대백화점목동점별관,서울 양천구 목동동로 257-0,쇼핑,백화점,531
479,서울특별시,종로구,화정박물관,서울 종로구 평창8길 3-0,문화관광,전시시설,528
480,서울특별시,성동구,뚝도청춘시장,서울 성동구 성수이로 32-15,쇼핑,시장,527
481,서울특별시,강서구,남부시장,서울 강서구 등촌로5길 62-4,쇼핑,시장,522
482,서울특별시,중구,화폐박물관,서울 중구 남대문로 39-0,문화관광,전시시설,520
483,서울특별시,종로구,서울공예박물관,서울 종로구 율곡로3길 4-0,문화관광,전시시설,518
483,서울특별시,금천구,롯데시네마가산디지털,서울 금천구 디지털로10길 9-0,문화관광,공연시설,518
483,서울특별시,강남구,코엑스신한카드아티움,서울 강남구 영동대로 513-0,문화관광,공연시설,518
486,서울특별시,강동구,강동아트센터,서울 강동구 동남로 870-0,문화관광,공연시설,517
487,서울특별시,강남구,CGV압구정신관,서울 강남구 압구정로30길 45-0,문화관광,공연시설,510
488,서울특별시,관악구,서울특별시교육청과학전시관본관,서울 관악구 낙성대로 101-0,문화관광,전시시설,509
489,서울특별시,강서구,더클라임마곡점,서울 강서구 마곡동로 62-0,레저스포츠,기타레저스포츠,507
490,서울특별시,중구,삼익패션타운,서울 중구 남대문시장8길 7-0,쇼핑,쇼핑몰,506
491,서울특별시,강동구,나비쇼핑몰,서울 강동구 천호대로157길 14-0,쇼핑,쇼핑몰,503
491,서울특별시,종로구,창신동문구거리,서울 종로구,쇼핑,기타쇼핑시설,503
493,서울특별시,은평구,연서시장,서울 은평구 통일로 850-0,쇼핑,시장,501
493,서울특별시,강동구,고분다리전통시장,서울 강동구 구천면로34길 10-0,쇼핑,시장,501
493,서울특별시,마포구,난지천공원,서울 마포구,문화관광,도시공원,501
493,서울특별시,노원구,초안산인조잔디축구장,서울 노원구 마들로5가길 113-0,문화관광,레저스포츠시설,501
497,서울특별시,강북구,우이시장,서울 강북구 한천로162길 24-0,쇼핑,시장,500
498,서울특별시,금천구,쥬라리움금천점,서울 금천구 두산로 71-0,문화관광,테마공원,499
499,서울특별시,송파구,송리단길,서울 송파구,문화관광,테마공원,498
500,서울특별시,성동구,피치스도원,서울 성동구 연무장3길 9-0,문화관광,기타문화관광지,497
