광역시도,시군구명,기타관광,레저스포츠,문화관광,쇼핑,자연관광,역사.체험관광,총 관광지 수,도시비율,임야면적 비율,농업용지 비율,해면비율,육지 도시화 정도,해면 도시화 정도,도시지역 인구 (명),1인당 주거지역 (㎡),1인당 상업지역 (㎡),1인당 공업지역 (㎡),지역총면적(㎡),관광/여가/오락,생활서비스,소매,숙박,스포츠,음식,학문/교육,계절성,요일성,성별 편향,30대 이하,30 - 50대,50대 이상,소계(남녀합계)/sum/mean,소멸지수,pca1,pca2,cluster
강원도,강릉시,0.6706586826347305,0.6490196078431374,0.21080056845097106,0.3823953823953823,0.9999999999999999,0.5456155890168292,0.5919149677644189,0.9914377128041546,0.8900063451998359,0.25380050826967393,0.008562287195845321,0.0728206431328483,0.008562287195845397,0.286156214091964,0.31187205249128563,0.18887578616352202,0.1505571522210457,0.5709082331076306,0.38709677419354843,0.30000000000000004,0.5769230769230769,1.0,0.2115384615384615,0.53125,0.38888888888888884,0.12480840814539075,0.30043603105391853,0.2859836125009063,0.2746176051361291,0.20945373004955817,0.34848523260235764,0.05376901111229404,0.5373406193078324,-0.8507413235936345,1.2592546434686827,4
강원도,고성군,0.4491017964071855,0.39803921568627454,0.06371387967787775,0.09668109668109665,0.7404306220095693,0.1736049601417183,0.2742638090259627,0.999357113217122,0.9230434263905868,0.2160933871202474,0.0006428867828780563,0.013011054206575778,0.0006428867828781881,0.02244380321219913,0.7098284464493201,0.5237814465408804,0.07134573690314122,0.361886372111611,0.0,0.0,0.038461538461538436,0.43333333333333335,0.019230769230769218,0.031250000000000056,0.02777777777777779,0.19115393037004608,0.30022333297883613,0.4520339351751142,0.2652508773821075,0.2238877687538865,0.3818608188617061,0.05754938400102971,0.18639951426836665,-1.490732648142276,0.2837577403586907,2
강원도,동해시,0.38123752495009977,0.11764705882352944,0.04334438654666033,0.19047619047619047,0.3444976076555023,0.08414526129317981,0.13957135389440672,0.8770896572805744,0.7548743715081146,0.17940139410972628,0.12291034271942558,0.5784324107840318,0.12291034271942564,0.1352335530759668,0.5068689768300184,0.4939072327044025,0.506529521504563,0.09754345718850774,0.0967741935483871,0.1,0.19230769230769226,0.2,0.038461538461538464,0.15625,0.1111111111111111,0.08156338953361073,0.3007550781665422,0.3031687332318178,0.19525195539425305,0.1435395428592964,0.23858537203701352,0.027036260751974794,0.42562234365513046,-0.8222170084530023,-0.2255851376452352,2
강원도,삼척시,0.6447105788423153,0.18137254901960786,0.06110847939365226,0.11111111111111108,0.8349282296650715,0.22674933569530556,0.2768775047917756,1.0,0.978537784075239,0.1548975843109036,0.0,0.061772081464818385,0.0,0.07685628892488017,0.6742532977923588,0.38698899371069184,0.772298694095699,0.651868098206685,0.06451612903225806,0.05000000000000002,0.11538461538461542,0.2833333333333334,0.038461538461538464,0.09375000000000006,0.05555555555555555,0.1243704839062842,0.30096777624162463,0.3536364295555072,0.1683136296668943,0.1347396785317229,0.25748510584357964,0.024907715361280613,0.32544019429265325,-1.5324947491095269,0.3647635132084935,2
강원도,속초시,0.6047904191616765,0.2421568627450981,0.10871624822359066,0.189033189033189,0.34569377990430605,0.1550044286979628,0.24324795260498344,0.9379154879871944,0.7823151951556181,0.19126700834684712,0.06208451201280562,0.3533457453490025,0.06208451201280571,0.12569197678813482,0.2597225070056729,0.5520833333333334,0.06297584833358544,0.05653525480230885,0.16129032258064516,0.1,0.2692307692307692,0.36666666666666664,0.05769230769230768,0.18750000000000006,0.1111111111111111,0.1167889205167508,0.29639476762735256,0.2397215575375246,0.28512223459939884,0.21371233676911192,0.3296742299404233,0.0531572231500565,0.4468731026108075,-0.8219528514523372,0.04102964756982317,2
강원도,양구군,0.20758483033932135,0.07352941176470587,0.05542396968261484,0.0,0.13875598086124397,0.09034543844109832,0.07370622059592258,1.0,0.8955145353861056,0.28366129878325375,0.0,0.0,0.0,0.017867307426673584,0.42235664001093576,0.27358490566037735,0.026823980234961936,0.36255532964755194,0.0,0.0,0.0,0.11666666666666668,0.0,0.0,0.02777777777777779,0.20160937157871697,0.3010741252791658,0.4299905735624683,0.20422341202822003,0.14586670184099948,0.3131702370389149,0.035002216738200864,0.2908318154219793,-1.2319003516877007,-0.2530136386635116,2
강원도,양양군,0.28542914171656686,0.9019607843137256,0.04760776882993839,0.005772005772005734,0.727272727272727,0.35518157661647476,0.36051576929778695,0.9994012645284921,0.9305894908787546,0.2070604524092804,0.0005987354715080856,0.013326461938439116,0.0005987354715081827,0.018577688862038755,0.7231563119404005,1.0,0.008924519739827552,0.3448220134902079,0.0,0.0,0.038461538461538436,0.6000000000000001,0.019230769230769218,0.031250000000000056,0.02777777777777779,0.24592183052331956,0.2997979368286713,0.3508084982959902,0.304849856863943,0.260905613446645,0.44109519584231205,0.07183503018418791,0.35215543412264716,-1.507767291536843,0.5385776960929833,2
강원도,영월군,0.5049900199600799,0.2176470588235294,0.10303173851255323,0.07792207792207792,0.22966507177033488,0.3356953055801595,0.23122495208224428,1.0,0.9473674494226088,0.21904573080429993,0.0,0.01789244408616497,0.0,0.03718877172317586,0.49080719021256236,0.44398584905660377,0.2213986789693944,0.6185835973899418,0.0,0.024999999999999994,0.07692307692307693,0.2833333333333334,0.07692307692307691,0.031250000000000056,0.02777777777777779,0.17467703087365885,0.3010741252791658,0.3938800667101733,0.1662893624157055,0.1415609866400347,0.3369882114336418,0.03288002758607539,0.33697632058287785,-1.3751221171968937,0.1356452739041118,2
강원도,원주시,0.5209580838323351,0.6411764705882355,0.22027475130270013,0.26839826839826836,0.4545454545454545,0.6288751107174491,0.5075797177208573,1.0,0.7884934929122115,0.3527577611993117,0.0,0.09669581399300853,0.0,0.4978847937389287,0.27151254186316726,0.1495676100628931,0.09776634901426914,0.47605846068782876,0.5806451612903226,0.4750000000000001,0.8076923076923077,0.41666666666666674,0.2692307692307692,0.59375,0.5555555555555556,0.0,0.3016058704668719,0.30128344572547294,0.38777294668631057,0.2992707607077579,0.4511725186969197,0.08579968631962662,0.6229508196721311,-0.2873452586751235,1.1800147824564595,4
강원도,인제군,0.3493013972055888,0.20392156862745103,0.05495026054002841,0.037518037518037534,0.5035885167464114,0.12666076173604962,0.17372364523436137,1.0,1.0,0.10714921814945548,0.0,0.003427235482470592,0.0,0.04407552508268808,0.4016130134645616,0.3769654088050315,0.03796702465587656,0.9040546219742766,0.032258064516129004,0.024999999999999994,0.07692307692307693,0.4,0.05769230769230768,0.031250000000000056,0.02777777777777779,0.2169640902123932,0.3005423800914597,0.5267928359074759,0.31764226765843795,0.26610638979441864,0.46272024337685375,0.0756209647816711,0.3418336369156041,-1.4137912343232624,0.23790509368886853,2
